sex,year,age,mean_ghq
female,2002,62,1.5833333333333333
female,2002,63,1.5113636363636365
female,2002,64,2.01010101010101
female,2002,65,2.775
female,2002,66,1.627659574468085
female,2002,67,1.923913043478261
female,2002,68,1.8227848101265822
female,2002,69,1.1728395061728396
female,2002,70,1.353658536585366
female,2002,71,0.881578947368421
female,2002,72,1.2597402597402598
female,2002,73,1.964705882352941
female,2002,74,2.3058823529411763
female,2002,75,2.140625
female,2002,76,2.242424242424242
female,2002,77,2.2375
female,2002,78,1.6363636363636365
female,2002,79,2.557377049180328
female,2002,80,1.8636363636363635
female,2002,81,2.34375
female,2002,82,1.9
female,2002,83,2.1818181818181817
female,2002,84,2
female,2002,85,2.3
female,2002,86,2.411764705882353
female,2002,87,1.8888888888888888
female,2002,88,2.909090909090909
female,2002,89,3.8333333333333335
female,2002,90,2.4545454545454546
female,2002,91,2.6
female,2002,92,2.2
female,2002,93,0.6666666666666666
female,2002,94,0
female,2002,95,0.5
female,2002,96,9
female,2002,97,NaN
female,2003,15,3.6538461538461537
female,2003,16,2.0072992700729926
female,2003,17,2.180327868852459
female,2003,18,2.3660714285714284
female,2003,19,2.379032258064516
female,2003,20,2.0431654676258995
female,2003,21,2.2268041237113403
female,2003,22,2.144
female,2003,23,1.8934426229508197
female,2003,24,2.007751937984496
female,2003,25,2
female,2003,26,2.2611940298507465
female,2003,27,1.7809523809523808
female,2003,28,1.9767441860465116
female,2003,29,1.8059701492537314
female,2003,30,1.9183673469387754
female,2003,31,1.6527777777777777
female,2003,32,2.2658227848101267
female,2003,33,2.006622516556291
female,2003,34,2.3
female,2003,35,1.927710843373494
female,2003,36,2.1818181818181817
female,2003,37,2.0125
female,2003,38,2.1222222222222222
female,2003,39,1.8715083798882681
female,2003,40,2.8674698795180724
female,2003,41,2.164473684210526
female,2003,42,1.9878787878787878
female,2003,43,2.1818181818181817
female,2003,44,2.3642384105960264
female,2003,45,2.2977099236641223
female,2003,46,2.5702479338842976
female,2003,47,1.8682170542635659
female,2003,48,1.809090909090909
female,2003,49,2.4100719424460433
female,2003,50,2.763157894736842
female,2003,51,1.735042735042735
female,2003,52,3.1544117647058822
female,2003,53,1.9724770642201834
female,2003,54,2.475862068965517
female,2003,55,2.184
female,2003,56,2.1486486486486487
female,2003,57,1.9333333333333333
female,2003,58,1.7984496124031009
female,2003,59,2.466019417475728
female,2003,60,1.859504132231405
female,2003,61,1.603305785123967
female,2003,62,1.4408602150537635
